rh,temp,co2
57.359,29.749,74.9000015259
57.343,29.766,74.8000030518
57.343,29.766,74
57.523,29.72,76.5999984741
57.523,29.72,76.4000015259
57.613,29.709,77
57.613,29.709,76.8000030518
57.773,29.689,76
57.773,29.689,75.9000015259
57.967,29.669,74.5
57.967,29.669,74.3000030518
57.773,29.689,75
57.773,29.689,74.8000030518
58.132,29.646,75.1999969482
58.132,29.646,74.1999969482
58.288,29.622,73.0999984741
58.696,29.567,72.5
58.696,29.567,72.8000030518
58.923,29.542,72.3000030518
58.923,29.542,73.1999969482
59.135,29.514,73.6999969482
59.135,29.514,74.4000015259
59.361,29.478,74.1999969482
59.361,29.478,75.0999984741
59.135,29.514,74.5
59.135,29.514,75.3000030518
59.52,29.446,75.9000015259
59.52,29.446,76.8000030518
59.361,29.478,76
59.361,29.478,78.4000015259
59.361,29.478,78.6999969482
59.361,29.478,78.5999984741
59.361,29.478,77.9000015259
59.361,29.478,78.4000015259
60.136,29.317,78.0999984741
60.136,29.317,77.5
60.273,29.282,80.5999984741
60.273,29.282,80.5
60.39,29.247,82.0999984741
60.39,29.247,83.6999969482
60.486,29.212,83.9000015259
60.486,29.212,86.6999969482
60.39,29.247,87.4000015259
60.39,29.247,88.1999969482
60.39,29.247,90.9000015259
60.39,29.247,90.1999969482
60.39,29.247,90.5
60.39,29.247,89.5999984741
60.39,29.247,89.8000030518
60.39,29.247,90
60.39,29.247,89.6999969482
60.979,28.939,89.9000015259
60.979,28.939,90.0999984741
60.486,29.212,89.4000015259
61.031,28.927,89.1999969482
61.031,28.927,91
61.086,28.918,90
61.086,28.918,90.1999969482
61.119,28.907,91.1999969482
61.119,28.907,90.6999969482
61.169,28.895,91.8000030518
61.169,28.895,90
61.119,28.907,89.9000015259
61.119,28.907,90.1999969482
61.169,28.887,89.4000015259
61.169,28.887,89.4000015259
61.399,28.862,89
61.399,28.862,89.0999984741
61.431,28.846,88.9000015259
61.431,28.846,88.1999969482
61.505,28.827,88.5
61.505,28.827,87.5999984741
61.431,28.846,88.6999969482
61.431,28.846,88.1999969482
61.586,28.814,88.1999969482
61.586,28.814,88.0999984741
61.654,28.801,87.5999984741
61.654,28.801,88.5
61.825,28.77,89.1999969482
61.825,28.77,92
61.879,28.755,91.6999969482
61.879,28.755,92.1999969482
61.825,28.77,92.8000030518
61.825,28.77,92.5
61.967,28.74,92.6999969482
61.967,28.74,92.1999969482
62.056,28.726,93.1999969482
62.056,28.726,93.6999969482
61.967,28.74,93.4000015259
61.967,28.74,92.1999969482
61.967,28.74,91.9000015259
61.967,28.74,91.5999984741
62.187,28.697,91.5999984741
62.187,28.697,91
62.2,28.689,90.6999969482
62.2,28.689,90.6999969482
62.17,28.682,91.9000015259
62.17,28.682,90.5
62.166,28.678,90.1999969482
62.166,28.678,90.5
62.17,28.682,90.5999984741
62.17,28.682,90.4000015259
62.17,28.682,92.3000030518
62.17,28.682,91.8000030518
62.17,28.682,91.9000015259
62.17,28.682,91.4000015259
62.17,28.682,91.1999969482
62.17,28.682,91.5999984741
62.17,28.682,91.3000030518
62.17,28.682,90.5
62.17,28.682,91.4000015259
62.17,28.682,93
62.001,28.631,92.8000030518
62.001,28.631,91.6999969482
62.166,28.678,92.4000015259
62.166,28.678,93.5999984741
61.985,28.626,93.5
61.985,28.626,92.9000015259
61.95,28.62,93.4000015259
61.95,28.62,93.3000030518
61.95,28.62,93.5999984741
61.95,28.62,93
61.95,28.62,94.4000015259
61.95,28.62,92.5
61.82,28.604,92
61.82,28.604,92.5999984741
61.851,28.597,93.4000015259
61.851,28.597,93.6999969482
61.765,28.588,93.5
61.765,28.588,94
61.687,28.577,94
61.687,28.577,93.9000015259
61.619,28.564,94.5999984741
61.619,28.564,97.1999969482
61.687,28.577,98.9000015259
61.687,28.577,99.6999969482
61.521,28.551,100.599998474
61.521,28.551,103.900001526
61.454,28.526,104.400001526
61.454,28.526,104.900001526
61.275,28.514,105.099998474
61.454,28.526,103.900001526
61.454,28.526,103.400001526
61.454,28.526,102.300003052
61.078,28.502,101.800003052
61.078,28.502,100.699996948
60.897,28.491,101
60.897,28.491,99.8000030518
61.078,28.502,99.3000030518
61.078,28.502,99.8000030518
60.411,28.463,100.099998474
60.411,28.463,99
60.897,28.491,100
60.897,28.491,98.4000015259
60.298,28.456,98.9000015259
60.298,28.456,101.400001526
60.195,28.447,100.5
60.195,28.447,100.400001526
60.195,28.439,99.5
60.195,28.439,100.699996948
60.195,28.447,101.199996948
60.195,28.447,100.900001526
60.195,28.447,100.900001526
60.195,28.447,101.199996948
60.195,28.447,101.699996948
60.195,28.447,101.400001526
60.195,28.447,101.099998474
60.195,28.447,101.199996948
60.195,28.447,101.300003052
60.195,28.447,102.400001526
60.195,28.439,101.400001526
60.195,28.439,102.900001526
60.195,28.439,102
60.195,28.439,102.699996948
61.046,28.3,103.5
61.046,28.3,102.699996948
61.117,28.293,103.300003052
61.117,28.293,103.099998474
61.213,28.284,103.900001526
61.213,28.284,104.300003052
61.117,28.293,105
61.117,28.293,106.099998474
61.313,28.276,105.199996948
61.313,28.276,105.199996948
61.313,28.276,104.300003052
61.313,28.276,104.199996948
61.495,28.248,105.199996948
61.495,28.248,105.599998474
61.562,28.238,105.800003052
61.562,28.238,106.199996948
61.624,28.226,106
61.624,28.226,106.400001526
61.647,28.215,106.099998474
61.647,28.215,105.699996948
61.624,28.226,105.599998474
61.624,28.226,106
61.662,28.203,105.699996948
61.662,28.203,106.800003052
61.664,28.193,108.099998474
61.664,28.193,107.900001526
61.664,28.193,107.400001526
61.664,28.193,106.099998474
61.726,28.171,105.300003052
61.726,28.171,105.800003052
61.726,28.171,106.199996948
61.726,28.171,105.800003052
61.726,28.171,104.900001526
61.726,28.171,105
61.726,28.171,104.800003052
61.726,28.171,104.300003052
61.726,28.171,104.099998474
61.726,28.171,105
61.916,28.146,104.300003052
61.916,28.146,104.400001526
61.966,28.146,105.300003052
61.966,28.146,104.800003052
61.916,28.146,104.5
61.916,28.146,103.5
61.966,28.146,104.300003052
61.966,28.146,104.400001526
61.966,28.146,103.199996948
61.966,28.146,102.599998474
61.966,28.146,102.5
61.966,28.146,102.900001526
61.966,28.146,102.900001526
61.966,28.146,102.800003052
61.966,28.146,103.5
61.966,28.146,104.5
61.966,28.146,104.400001526
61.966,28.146,103.699996948
61.966,28.146,105.300003052
61.966,28.146,104.900001526
62.994,28.146,104.5
62.994,28.146,104.800003052
62.929,28.145,104.699996948
62.929,28.145,104.199996948
62.913,28.144,106.699996948
62.913,28.144,106
62.932,28.144,106
62.932,28.144,105.699996948
62.913,28.144,105.400001526
62.913,28.144,104.5
62.956,28.144,103.599998474
62.956,28.144,103.599998474
62.917,28.14,103.599998474
62.917,28.14,103
62.929,28.137,103.800003052
62.929,28.137,102.300003052
63.055,28.134,102.099998474
63.055,28.134,102
63.141,28.129,100.400001526
63.141,28.129,101.099998474
63.055,28.134,100.5
63.055,28.134,100.099998474
63.225,28.124,100.800003052
63.225,28.124,99.3000030518
63.287,28.12,99.9000015259
63.287,28.12,98.8000030518
63.267,28.105,98.3000030518
63.267,28.105,98.9000015259
63.3,28.094,100
63.42,28.084,99.6999969482
63.42,28.084,99
63.3,28.094,99.4000015259
63.3,28.094,99.4000015259
63.53,28.077,98.9000015259
63.53,28.077,98.8000030518
63.42,28.084,98.4000015259
63.42,28.084,97.9000015259
63.629,28.059,96.8000030518
63.629,28.059,97.8000030518
63.53,28.077,97.5
